Name	eaiQuoteID	type	uom	ccy	businessCalendar	lotSize	tenor	Commodity	limSymbol	limMultiplier	defaultPrecision	clearPortPrecision	expiryRule	exchange	volatilityID	indexLevel	forwardMarket	pricingRule	formula	rollbefore	promptness	bblPerMT
Gas Oil ULSD 10ppm FOB NWE Cargoes [High] (Platts)	1005	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAKWR00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Prem Unl 50ppm FOB Rotterdam Barges (Platts)	1006	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AANWY00)	Some(1.0)           	Some(4)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.35)
Prem Unl 50ppm FOB Rotterdam Barges [High](Platts)	1007	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AANWY00)	Some(1.0)           	Some(4)             	Some(0)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(8.35)
88 Grade Colonial Pipeline	1008	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Unl 93 USGC Waterborne (Platts) vs NYMEX RBOB	1009	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(0)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(276)) - Quote(1.0* MKT(880)) 	NULL	NULL	Some(8.33)
Unl 87 USGC Pipeline vs Unl 87 9 RVP USGC Waterborne (Platts)	1010	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(34)) - Quote(1.0* MKT(606)) 	NULL	NULL	Some(8.33)
Gas Oil 0.1% FOB Rotterdam Barges (Platts)	1011	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAYWT00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil 0.1% FOB Rotterdam Barges (Platts) vs IPE Gas Oil [Settlement]	1012	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1011)) - Quote(1.0* MKT(58)) 	NULL	NULL	Some(7.45)
Prem Unl 10 ppm FOB Rotterdam Barges(Platts) vs Reg Unl FOB Rotterdam Barges(Platts)	1013	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(0)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(17)) - Quote(1.0* MKT(269)) 	NULL	NULL	Some(8.33)
Unl 87 USGC Pipeline (Platts) vs Reg Unl Supplemental USGC Pipeline (Platts)	1014	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(0)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(34)) - Quote(1.0* MKT(437)) 	NULL	NULL	Some(8.33)
Reg Unl Supplemental USGC Pipeline (Platts) vs NYMEX RBOB	1016	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(437)) - Quote(1.0* MKT(880)) 	NULL	NULL	Some(8.33)
Basra Asia OSP	1017	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(0)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(0.5* MKT(165)) + Quote(0.5* MKT(6)) + Quote(1.0* MKT(1026)) 	NULL	NULL	Some(7.1965)
Jet LA Pipeline (OPIS) vs NYMEX Heat	1018	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(253)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.59)
NYMEX GC Gasoline	1019	FuturesMarket	gal                 	USD                 	NYM	Some(42000.0)       	Month               	Gasoline	Some(NYM.LR)	Some(0.01)          	Some(4)             	Some(4)             	No Rule	NYMEX	None                	NULL	NULL	NULL	NULL	NULL	NULL	Some(8.45)
NYMEX NYH ULSD	1020	FuturesMarket	gal                 	USD                 	NYM	Some(42000.0)       	Month               	GasOil	Some(NYM.LH)	Some(0.01)          	Some(4)             	Some(4)             	No Rule	NYMEX	None                	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.45)
NYMEX GC ULSD	1021	FuturesMarket	gal                 	USD                 	NYM	Some(42000.0)       	Month               	GasOil	Some(NYM.LU)	Some(0.01)          	Some(4)             	Some(4)             	No Rule	NYMEX	None                	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil ULSD 10ppm CIF NWE Cargoes [High](Platts)	1022	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAVBG00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Naphtha Domestic USGC (OPIS)	1024	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	GasOil	Some(NAPHTHA.DOM)	Some(0.01)          	Some(4)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
No. 6 3% USGC Waterborne (Platts) vs 3.5% Fuel FOB Rotterdam Barges (Platts)	1025	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(3)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(11)) - Quote(1.0* MKT(5)) 	NULL	NULL	Some(6.35)
Basrah Asia OSP Premium	1026	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(AAIPE00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Index	NULL	NULL	NULL	NULL	NULL	Some(7.1965)
NYMEX RBOB 2nd month	1027	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	Close	NYMEX RBOB	NULL	NULL	0	2	NULL
Unl 87 NY Cargo (Platts)	1028	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(AAMHG00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.33)
Unl 93 USGC Pipeline (Platts) vs NYMEX RBOB 2nd Month	1029	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(239)) - Quote(1.0* MKT(1027)) 	NULL	NULL	Some(8.33)
Gas Oil 0.001% FOB Tokyo Bay (RIM)	1030	PublishedIndex	kl                  	JPY                 	RIM	None                	Day                 	GasOil	Some(RIM_RPDGTKSC)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.5507)
Jet 54 USGC Pipeline (Platts) vs NYMEX Heat	1031	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(377)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.904)
Gas Oil 0.2% CIF Med Cargoes [High] (Platts)	1032	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(POAAA00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Duri ICP Formula	1033	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(0.5* MKT(348)) + Quote(0.5* MKT(359)) 	NULL	NULL	Some(6.82)
Jet CIF NWE Cargoes [Low] (Platts)	1034	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(PJAAU00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Low	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Minas ICP Formula	1035	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(0.5* MKT(349)) + Quote(0.5* MKT(357)) 	NULL	NULL	Some(7.46)
Cinta ICP Formula	1036	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(0.5* MKT(347)) + Quote(0.5* MKT(355)) 	NULL	NULL	Some(7.31)
Shanghai Zinc	1037	FuturesMarket	MT                  	CNY                 	SFS	Some(5.0)           	Month               	Zinc	Some(ZN)	Some(1.0)           	Some(4)             	Some(2)             	SFS	SFS	None                	NULL	NULL	NULL	NULL	NULL	NULL	None
Widuri ICP Formula	1038	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(0.5* MKT(350)) + Quote(0.5* MKT(358)) 	NULL	NULL	Some(7.45)
Gas Oil ULSD USGC Pipeline (Platts)	1039	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(AATGY00)	Some(0.01)          	Some(4)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.44)
Gas Oil ULSD USGC Pipeline (Platts) vs NYMEX Heat	1040	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1039)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.44)
Jet 54 US West Coast Waterborne (Platts)	1041	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	JetKero	Some(PJABI00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Walio (RIM)	1042	PublishedIndex	bbl                 	USD                 	RIM	None                	Day                 	Crude	Some(RIM_RC044T1$)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.49)
Heating 2000ppm USGC Cargoes (Argus)	1043	PublishedIndex	gal                 	USD                 	ARG	None                	Day                 	GasOil	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.44)
Minas ICP vs Dated Brent	1045	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1035)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(7.46)
Minas ICP vs IPE Brent	1046	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1035)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(7.46)
Unl F3 Colonial Pipeline	1047	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Jet FOB Rotterdam Barges vs IPE Gasoil	1048	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(48)) - Quote(1.0* MKT(14)) 	NULL	NULL	Some(7.878)
Gas Oil 0.1% CIF NWE Cargoes (Platts)	1049	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAYWS00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil ULSD USGC Pipeline (Platts) vs. Jet 54 USGC Pipeline (Platts)	1050	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1039)) - Quote(1.0* MKT(377)) 	NULL	NULL	Some(7.4)
Gasoil 0.1% CIF NWE Cargoes (Platts) vs IPE Gasoil [Settlement]	1051	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1049)) - Quote(1.0* MKT(58)) 	NULL	NULL	Some(7.45)
Gas Oil ULSD 50ppm FOB NWE Cargoes [High] (Platts)	1052	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAOQA00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Naphtha Domestic USGC Diff (OPIS)	1053	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	GasOil	Some(NAPHTHA.DOMD)	Some(0.01)          	Some(4)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
FAME FOB Rotterdam (Platts)	1054	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAXQL00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
No.2 NYH Barges (Platts)	1055	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	GasOil	Some(POAEG00)	Some(0.01)          	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.5)
No.2 NYH Barges (Platts) vs NYMEX Heat	1056	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1055)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.5)
Prem Unl 50% FOB Med 50% FOB Singapore Cargoes (Platts)	1057	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(0.5* MKT(578)) + Quote(0.5* MKT(296)) 	NULL	NULL	Some(8.33)
Wyoming Sweet Woodpat Pipeline	1058	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	Crude	None	None                	Some(3)             	Some(0)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.89)
Gas Oil 0.2 CIF Russian NWE Cargoes (Platts)	1059	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAOQZ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
Reg Unl RBOB 83.7 USGC Pipeline (Platts) vs NYMEX RBOB	1060	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(902)) - Quote(1.0* MKT(933)) 	NULL	NULL	Some(8.33)
Gas Oil 10ppm FOB NWE Barges [High]	1061	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAJUS00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil ULSD 50ppm FOB Rotterdam Barges [High] (Platts)	1062	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAGMK00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil 0.2 CIF Russian NWE Cargoes [High] (Platts)	1063	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAOQZ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.46)
1.5% FOB Rotterdam Barges	1064	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AASXR00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.8)
Asphalt CFR West Africa Cargoes [High] (Argus)	1065	PublishedIndex	MT                  	USD                 	ARE	None                	Day                 	GasOil	Some(GPAS0109)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(5.47)
Naphtha FOB Singapore Spread vs Mops (Platts)	1066	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(PAADC00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(9.0)
Naphtha Prem to Mops Singapore Cargoes (Argus)	1067	PublishedIndex	bbl                 	USD                 	ARD	None                	Day                 	GasOil	Some(GPNASRAC)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(9.0)
NYMEX Heat 2nd month	1068	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(4)             	NULL	NULL	NULL	Close	NYMEX Heat	NULL	NULL	0	2	NULL
IPE Gas Oil 2nd Month (DO NOT USE)	1069	PublishedIndex	gal                 	USD                 	IPE	None                	Day                 	GasOil	None	None                	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.6 0.3% H/P NYH Cargoes (Platts) vs No.6 0.7% NYH Cargoes (Platts)	1070	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(160)) - Quote(1.0* MKT(279)) 	NULL	NULL	Some(6.35)
Tapis Paper 1st month	1071	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Crude	Some(PCAFG00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.33)
Gasoil 0.05% C+F Australia Cargoes	1072	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(AAFIU00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gasoil 50ppm C+F Australia Cargoes	1073	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	GasOil	Some(AAPPG00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
LSWR Mixed/Cracked FOB Singapore (Argus)	1074	PublishedIndex	bbl                 	USD                 	ARD	None                	Day                 	FuelOil	Some(GPFESRSC)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.85)
LSWR FOB Indonesia Premium (Argus)	1075	PublishedIndex	bbl                 	USD                 	ARD	None                	Day                 	FuelOil	Some(GPFESRAC)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.85)
LSWR FOB Indonesia Premium (RIM)	1076	PublishedIndex	bbl                 	USD                 	RIM	None                	Day                 	FuelOil	Some(RIM_RC2773O7)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.85)
Unl 87 USGC Waterborne vs NYMEX RBOB 2nd month	1077	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(148)) - Quote(1.0* MKT(1027)) 	NULL	NULL	Some(8.33)
Reg Unl RBOB 83.7 USGC Pipeline (Platts) vs NYMEX RBOB 2nd month	1078	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(902)) - Quote(1.0* MKT(1027)) 	NULL	NULL	Some(8.45)
Unl 87 USGC Pipeline (Platts) vs NYMEX RBOB 2nd month	1079	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(34)) - Quote(1.0* MKT(1027)) 	NULL	NULL	Some(8.33)
Gas Oil 0.1% CIF NWE Cargoes [High] (Platts)	1080	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAYWS00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Tapis Premium (RIM)	1081	PublishedIndex	bbl                 	USD                 	RIM	None                	Day                 	Crude	Some(RIM_RC040T1I)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.33)
Platts  Brent 2nd month Asia Close (Platts)	1082	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Crude	Some(PCAJG00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
IPE Brent (Argus)	1083	PublishedIndex	bbl                 	USD                 	ICE (Argus)	None                	Day                 	Crude	Some(GCDHC068$)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Dubai 2nd month (Platts)	1084	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Crude	Some(PCAAU00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Dubai 3rd month (Platts)	1085	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Crude	Some(PCAAV00)	Some(1.0)           	Some(3)             	Some(0)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Prem Unl 10ppm FOB Rotterdam Barges (Argus) vs Naphtha CIF NWE 1st month	1086	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(920)) - Quote(1.0* MKT(432)) 	NULL	NULL	Some(8.33)
Gas Oil 0.1% FOB Rotterdam Barges [High] (Platts)	1087	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAYWT00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(7.45)
CBOT Soybean Oil	1088	FuturesMarket	lb                  	USD                 	MAS	Some(60000.0)       	Month               	VegetableOil	Some(CBOT.BOC)	Some(0.01)          	Some(5)             	Some(4)             	EAIExpiryRule(1088)	COMEX	None                	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.0)
Gasoil 0.1% CIF Med Cargoes (Platts)	1089	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAVJJ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gasoil 0.1% FOB Med Cargoes (Platts)	1090	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAVJI00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
ICE WTI 1st month	1091	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(4)             	NULL	NULL	NULL	Close	ICE WTI	NULL	NULL	0	1	|
Unl H4 Colonial Pipeline	1092	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
DME Oman	1093	FuturesMarket	bbl                 	USD                 	NYM	Some(1000.0)        	Month               	Crude	Some(DME.OQ)	Some(1.0)           	Some(2)             	Some(2)             	No Rule	DME	None                	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.51)
LLS 1st month weighted average (Argus)	1094	PublishedIndex	bbl                 	USD                 	ARG	Some(1000.0)        	Day                 	Crude	Some(GCDHC537A)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.57)
NYMEX WTI 1st month (Argus) [DO NOT USE]	1095	PublishedIndex	bbl                 	USD                 	NYM	Some(1000.0)        	Day                 	Crude	Some(GCDHC045$)	Some(1.0)           	Some(3)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.6)
WTI Formula Basis 1st month (Argus)	1096	PublishedIndex	bbl                 	USD                 	ARG	Some(1000.0)        	Day                 	Crude	Some(GCUSWTI1M)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.6)
1.5% Fuel FOB Rotterdam Barges (Platts) vs 3.5% Fuel FOB Rotterdam Barges (Platts)	1097	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(1064)) - Quote(1.0* MKT(5)) 	NULL	NULL	Some(6.8)
Wyoming Asphalt Sour Crude	1098	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	Crude	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(5.6)
NWShelf (APPI)	1099	PublishedIndex	bbl                 	USD                 	APP	None                	Day                 	Crude	Some(APPI.CRUDE.NWSHELF)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.2 USGC Pipeline (Platts) vs NYMEX Heat 2nd month	1100	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(35)) - Quote(1.0* MKT(1068)) 	NULL	NULL	Some(7.45)
No.2 LS USGC Pipeline (Platts) vs NYMEX Heat 2nd month	1101	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(536)) - Quote(1.0* MKT(1068)) 	NULL	NULL	Some(7.45)
